order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,The First Section,Intro,the-first-section/intro,info-circle,/lessons/the-first-section/intro,""
02A,AI,Thoughts on AI,ai/thoughts-on-ai,robot,/lessons/ai/thoughts-on-ai,""
02B,AI,Ai and Software Dev,ai/ai-and-software-dev,robot,/lessons/ai/ai-and-software-dev,AI and Software Dev
02C,AI,Agents,ai/agents,robot,/lessons/ai/agents,""
03A,Setup MCP Clients,Claude Desktop,setup-mcp-clients/claude-desktop,file-code,/lessons/setup-mcp-clients/claude-desktop,""
03B,Setup MCP Clients,Tome and Ollama,setup-mcp-clients/tome-and-ollama,file-code,/lessons/setup-mcp-clients/tome-and-ollama,""
03C,Setup MCP Clients,Other Clients,setup-mcp-clients/other-clients,file-code,/lessons/setup-mcp-clients/other-clients,""
04A,Let's Build an MCP Server,My First Mcp Server,lets-build-mcp/my-first-mcp-server,file-code,/lessons/lets-build-mcp/my-first-mcp-server,""
04B,Let's Build an MCP Server,Using Our First MCP Server,lets-build-mcp/using-our-first-mcp-server,file-code,/lessons/lets-build-mcp/using-our-first-mcp-server,""
04C,Let's Build an MCP Server,Making a Weather MCP Server,lets-build-mcp/making-a-weather-mcp-server,file-code,/lessons/lets-build-mcp/making-a-weather-mcp-server,""
04D,Let's Build an MCP Server,Resources,lets-build-mcp/resources,file-code,/lessons/lets-build-mcp/resources,""
04E,Let's Build an MCP Server,Prompts,lets-build-mcp/prompts,file-code,/lessons/lets-build-mcp/prompts,""
04F,Let's Build an MCP Server,Future Features of MCP,lets-build-mcp/future-features-of-mcp,file-code,/lessons/lets-build-mcp/future-features-of-mcp,""
05A,Our Project,MCP Server Design,our-project/mcp-server-design,info-circle,/lessons/our-project/mcp-server-design,""
05B,Our Project,Api Based Tools,our-project/api-based-tools,info-circle,/lessons/our-project/api-based-tools,""
05C,Our Project,Jobs Based Tools,our-project/jobs-based-tools,info-circle,/lessons/our-project/jobs-based-tools,""
06A,SSEs and Streaming HTML,Server Side Events,sses-and-streaming-html/server-side-events,bars-staggered,/lessons/sses-and-streaming-html/server-side-events,""
06B,SSEs and Streaming HTML,Streamable HTTP,sses-and-streaming-html/streamable-http,bars-staggered,/lessons/sses-and-streaming-html/streamable-http,""
